iter	Passed	Remaining
0	0	95
1	2	117
2	3	102
3	3	92
4	4	88
5	5	87
6	6	86
7	7	83
8	8	82
9	9	82
10	9	80
11	10	80
12	11	79
13	12	78
14	13	77
15	14	76
16	15	75
17	16	74
18	17	75
19	18	75
20	20	75
21	21	75
22	22	75
23	23	74
24	24	73
25	25	72
26	26	70
27	27	69
28	27	68
29	28	66
30	29	66
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	58
39	37	56
40	38	55
41	39	54
42	40	53
43	41	52
44	42	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	53	38
58	53	37
59	54	36
60	55	35
61	56	34
62	57	33
63	57	32
64	58	31
65	59	30
66	60	29
67	61	28
68	61	27
69	62	26
70	63	25
71	64	24
72	65	24
73	65	23
74	66	22
75	67	21
76	68	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	14
84	74	13
85	75	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	79	6
93	80	5
94	81	4
95	81	3
96	82	2
97	82	1
98	83	0
99	84	0
